id,prompt,task_category,region,country,ground_truth,source_url,source_quality,evidence_tier
TR-NICHE-0035,What are the new conditions for obtaining non-immigrant visas for Kyrgyz citizens traveling to the USA?,Niche-Verification,Central Asia,Kyrgyzstan,"The USA has introduced new conditions for obtaining non-immigrant visas for Kyrgyz citizens, but the specifics of these conditions are not detailed in the provided snippets.",https://open.kg/en/news/exclusive/60469-mid-kr-informiruet-ob-uzhestochenii-vizovyh-trebovanij-ssha-dlja-kyrgyzstancev.html,general_web,medium
TR-NICHE-0036,What is the current fine range for foreign citizens violating the rules of stay and employment in Kyrgyzstan?,Niche-Verification,Central Asia,Kyrgyzstan,The fine ranges from 55 to 100 RP,https://intermarkrelocation.com/news/immigration/kyrgyzstan-fines-for-migration-violations-increased/,general_web,medium
TR-NICHE-0038,What is the penalty for spreading 'false information' online in Kyrgyzstan?,Niche-Verification,Central Asia,Kyrgyzstan,"Fines of 20,000 soms",https://cpj.org/2025/07/kyrgyzstan-tightens-control-over-media-with-new-false-news-laws/,general_web,medium
TR-NICHE-0039,"What are the consequences for violating local laws in Kyrgyzstan, even unknowingly?",Niche-Verification,Central Asia,Kyrgyzstan,"You may be expelled, arrested, or imprisoned",https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Kyrgyzstan.html,official,high
TR-NICHE-0040,Are there any specific items banned from entering Kyrgyzstan?,Niche-Verification,Central Asia,Kyrgyzstan,"Yes, certain items such as narcotics, weapons, and explicit materials are banned",https://youthvillage.co.za/2025/03/10-things-you-are-not-allowed-to-do-in-kyrgyzstan/,general_web,medium
TR-NICHE-0041,What is the penalty for misusing regional transit permits in Kyrgyzstan?,Niche-Verification,Central Asia,Kyrgyzstan,"The permits used for unintended purposes will be deemed invalid, and further issuance of such permits to those carriers may be sanctioned.",https://m.kun.uz/en/news/2025/04/29/transport-ministry-threatens-sanctions-for-misuse-of-regional-transit-permits,general_web,medium
TR-NICHE-0042,How can domestic carriers in Kyrgyzstan obtain permits for freight transport to China and Turkic states?,Niche-Verification,Central Asia,Kyrgyzstan,"Through the e-Permit system, which can be accessed online.",https://timesca.com/kyrgyzstan-launches-e-permit-system-for-freight-transport-to-china-and-turkic-states/,general_web,medium
TR-NICHE-0043,What was the outcome of increased inspections at the Kazakh-Kyrgyz border in September 2025?,Niche-Verification,Central Asia,Kyrgyzstan,A corruption scheme was uncovered by Kyrgyzstan's State Committee for National Security.,https://thediplomat.com/2026/02/traffic-jam-at-kazakh-kyrgyz-border-result-of-increased-inspections/,general_web,medium
TR-NICHE-0044,What new guidance has the Ministry of Transport and Communications of the Kyrgyz Republic approved?,Niche-Verification,Central Asia,Kyrgyzstan,The new safe and inclusive road design guidance.,https://irfofficial.org/2026/03/17/kyrgyz-republic-approves-new-safe-and-inclusive-road-design-guidance/,general_web,medium
TR-NICHE-0045,What has the Ministry of Transport appealed to heads of companies engaged in international road freight transportation to do?,Niche-Verification,Central Asia,Kyrgyzstan,To comply with the rules.,https://tashkenttimes.uz/national/15110-carriers-on-china-kyrgyzstan-uzbekistan-corridor-requested-to-abide-by-rules,general_web,medium
TR-NICHE-0046,When was the electronic permit system (e-Permit) officially launched in Kyrgyzstan?,Niche-Verification,Central Asia,Kyrgyzstan,January 2026.,https://www.seetaoe.com/details/258695.html,general_web,medium
TR-NICHE-0047,How much has the time to obtain permits for transportation to China been cut in Kyrgyzstan?,Niche-Verification,Central Asia,Kyrgyzstan,144 times.,https://24.kg/english/361187_Time_to_obtain_permits_for_transportation_to_China_cut_144_times_in_Kyrgyzstan/,general_web,medium
TR-NICHE-0048,What has Uzbekistan warned of for violating cargo transportation rules on the China-Kyrgyzstan route?,Niche-Verification,Central Asia,Kyrgyzstan,Possible sanctions.,https://akipress.com/news:829879:Uzbekistan_warns_of_possible_sanctions_for_violating_cargo_transportation_rules_on_China-Kyrgyzstan_route/,general_web,medium
TR-NICHE-0049,What is the duration of stay in Kyrgyzstan that requires a tourist visa?,Niche-Verification,Central Asia,Kyrgyzstan,More than 60 days,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Kyrgyzstan.html,official,high
TR-NICHE-0050,Is there a currency restriction for entry into Kyrgyzstan?,Niche-Verification,Central Asia,Kyrgyzstan,"10,000 EUR",https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Kyrgyzstan.html,official,high
TR-NICHE-0051,"Are there any fees for domestic transfers in the national currency of Kyrgyzstan as of January 1, 2026?",Niche-Verification,Central Asia,Kyrgyzstan,"No, fees are temporarily banned",https://24.kg/english/353369_National_Bank_bans_fees_for_domestic_transfers_in_national_currency/,general_web,medium
TR-NICHE-0052,"Can commercial banks and payment organizations charge fees for money transfers between banks in Kyrgyzstan from January 1 to December 31, 2026?",Niche-Verification,Central Asia,Kyrgyzstan,"No, they are not allowed to charge fees",https://open.kg/en/news/exclusive/50516-nacbank-prodlil-zapret-na-vzimanie-komissii-po-denezhnym-perevodam-mezhdu-bankami-kr.html,general_web,medium
TR-NICHE-0053,"What new regulations did the National Bank's Board approve on December 19, 2025, for currency exchange offices?",Niche-Verification,Central Asia,Kyrgyzstan,Minimum requirements for internal control to verify the origin of clients' money,https://www.akchabar.kg/en/news/v-kirgizstane-obmenki-budut-proveryat-proiskhozhdenie-deneg-klientov-roigvkotasnmeovq,general_web,medium
TR-NICHE-0054,"Are there any restrictions on transit payments through Kyrgyzstan as of June 13, 2025?",Niche-Verification,Central Asia,Kyrgyzstan,"Yes, new restrictions have been imposed",https://kyrgyzstan.revera.legal/en/infocentr/novosti-i-analiticheskie-materialy/5-novye-ogranicheniya-na-tranzitnye-raschyoty-cherez-kyrgyzstan/,general_web,medium
TR-NICHE-0055,Is the European Union considering any sanctions against Kyrgyzstan?,Niche-Verification,Central Asia,Kyrgyzstan,"Yes, including a possible ban on the import of certain categories",https://timesca.com/kyrgyzstans-sanctions-dilemma-drifting-from-the-central-asian-consensus/,general_web,medium
TR-NICHE-0056,"What is the new visa requirement for citizens of Tajikistan traveling to the US, effective January 21, 2026?",Niche-Verification,Central Asia,Tajikistan,Citizens of Tajikistan will be required to obtain a visa bond,https://caspianpost.com/tajikistan/us-adds-tajikistan-to-visa-bond-requirement-list,general_web,medium
TR-NICHE-0057,Which border crossing is currently open for land travel between Tajikistan and other countries?,Niche-Verification,Central Asia,Tajikistan,Only the 'Panji Poyon' border crossing is open for land travel,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Tajikistan.html,official,high
TR-NICHE-0058,Will truck drivers from Tajikistan and Iran need visas to cross the border starting in March 2026?,Niche-Verification,Central Asia,Tajikistan,"No, Tajikistan and Iran will abolish visa requirements for international road transport drivers starting in March 2026",https://caspiannews.com/news-detail/tajikistan-iran-to-lift-visa-requirements-for-road-transport-drivers-from-march-2026-2026-1-16-0/,general_web,medium
TR-NICHE-0059,What is the penalty for bringing a cake to a pub in Tajikistan?,Niche-Verification,Central Asia,Tajikistan,A fine equivalent to $600,https://engoo.com/app/lessons/5-strange-things-banned-in-tajikistan/vOU4NNjUEeeCEyeToqqk6w,general_web,medium
TR-NICHE-0060,Is fortune-telling allowed in Tajikistan?,Niche-Verification,Central Asia,Tajikistan,"No, the government has proposed a ban on fortune-telling with fines for customers",https://timesca.com/tajikistan-proposes-ban-on-fortune-telling-with-fines-for-customers/,general_web,medium
TR-NICHE-0061,What is the penalty for practicing fortune-telling in Tajikistan?,Niche-Verification,Central Asia,Tajikistan,"Fines of 6,000-7,500 Tajikistani somoni ($600-$750) and up to 15 days of administrative detention",https://www.muslimnetwork.tv/tajikistan-moves-to-ban-fortune-telling-impose-fines-on-clients/,general_web,medium
TR-NICHE-0063,What is the status of likes and reposts on social media in Tajikistan?,Niche-Verification,Central Asia,Tajikistan,"Decriminalized, as of May 2025",https://www.idea.int/democracytracker/report/tajikistan/may-2025,general_web,medium
TR-NICHE-0064,Are there any restrictions on expressing dissent in Tajikistan?,Niche-Verification,Central Asia,Tajikistan,"Yes, the government has cracked down on dissent, jailing public figures, journalists, and bloggers",https://www.hrw.org/world-report/2025/country-chapters/tajikistan,general_web,medium
TR-NICHE-0066,What is the current visa requirement for international truck drivers traveling between Tajikistan and Iran?,Niche-Verification,Central Asia,Tajikistan,"As of March 2026, Tajikistan and Iran have lifted visa requirements for drivers involved in international freight transport.",https://tj.usembassy.gov/security-alert-worldwide-caution-june-22-2025/,official,high
TR-NICHE-0068,Are there any recent changes to visa requirements for air travel between Tajikistan and Iran?,Niche-Verification,Central Asia,Tajikistan,"Yes, earlier in 2025, Tajikistan and Iran fully abolished visa requirements for air travel between all cities in both countries.",https://wanaen.com/tajikistan-and-iran-to-lift-visa-requirements-for-international-truck-drivers/,general_web,medium
TR-NICHE-0069,Is an immigration card required when entering Tajikistan?,Niche-Verification,Central Asia,Tajikistan,"No, the immigration card when entering Tajikistan has been abolished.",https://caravanistan.com/border-crossings/uzbekistan/,general_web,medium
TR-NICHE-0070,Can Tajikistan's borders with neighboring countries close without notice?,Niche-Verification,Central Asia,Tajikistan,"Yes, Tajikistan's borders with neighboring countries can close without notice and some borders may not be open to foreign travelers.",https://www.gov.uk/foreign-travel-advice/tajikistan/regional-risks,official,high
TR-NICHE-0071,What is the current GDP per capita in Tajikistan as of 2025?,Niche-Verification,Central Asia,Tajikistan,"About $1,650",https://www.spglobal.com/ratings/en/regulatory/article/-/view/type/HTML/id/3517691,general_web,medium
TR-NICHE-0072,Are there any restrictions on making payments and transfers for current international transactions in Tajikistan?,Niche-Verification,Central Asia,Tajikistan,The targets specifically require not to impose or intensify restrictions on the making of payments and transfers for current international transactions,https://www.imf.org/-/media/files/publications/cr/2025/english/1tjkea2025001-print-pdf.pdf,general_web,medium
TR-NICHE-0073,Does the Tajik government restrict domestic investors from investing abroad?,Niche-Verification,Central Asia,Tajikistan,"No, the government does not restrict domestic investors from investing abroad",https://www.state.gov/wp-content/uploads/2025/09/638719_2025-Tajikistan-Investment-Climate-Statement.pdf,official,high
TR-NICHE-0074,Is the use of digital assets allowed for domestic payments in Tajikistan?,Niche-Verification,Central Asia,Tajikistan,"No, there is an absolute prohibition on the use of digital assets for domestic payments",https://aaa.tj/articles,general_web,medium
TR-NICHE-0075,What is the expected policy change regarding cryptocurrency regulation in Tajikistan by 2025?,Niche-Verification,Central Asia,Tajikistan,"Tajikistan is taking steps to regulate crypto by 2025, moving from a cautious approach to formalizing the digital asset sector",https://ironwallet.io/news/tajikistan-to-get-crypto-rules-by-2025-a-shift-from-the-gray-zone/,general_web,medium
TR-NICHE-0076,Are there any restrictions on currency movement in Tajikistan?,Niche-Verification,Central Asia,Tajikistan,Restrictions on currency movement may apply only under anti–money laundering regulations,https://practiceguides.chambers.com/practice-guides/investing-in-2026/tajikistan,general_web,medium
TR-NICHE-0077,What is the planned fiscal deficit in the 2025 budget of Tajikistan?,Niche-Verification,Central Asia,Tajikistan,"Up to 2.5 percent of GDP, conditional on available financing",https://www.elibrary.imf.org/view/journals/002/2025/169/article-A001-en.xml,general_web,medium
TR-NICHE-0079,Are there any visa restrictions imposed by the U.S. on individuals in Uzbekistan?,Niche-Verification,Central Asia,Uzbekistan,"Yes, the U.S. has imposed visa restrictions on individuals in Uzbekistan identified as knowingly facilitating illegal immigration to the United States",https://www.state.gov/releases/office-of-the-spokesperson/2026/02/imposition-of-visa-restrictions-on-uzbekistanis-facilitating-illegal-immigration-to-the-united-states,official,high
TR-NICHE-0082,What is the consequence for carriers misusing regional transit permits in Uzbekistan?,Niche-Verification,Central Asia,Uzbekistan,"The permits used for unintended purposes will be deemed invalid, and further issuance of such permits to those carriers may be sanctioned",https://m.kun.uz/en/news/2025/04/29/transport-ministry-threatens-sanctions-for-misuse-of-regional-transit-permits,general_web,medium
TR-NICHE-0083,What is the new development in the issuance and exchange of international transport permits in Uzbekistan?,Niche-Verification,Central Asia,Uzbekistan,"Uzbekistan has formalized procedures for issuing and exchanging international transport permits, streamlining cargo and passenger road transport",https://www.uzdaily.uz/en/uzbekistan-approves-new-rules-for-international-transport-permits/,general_web,medium
TR-NICHE-0084,What action has the US taken against Uzbekistan-based visa facilitation companies?,Niche-Verification,Central Asia,Uzbekistan,The US has imposed visa restrictions on executives and senior officials at two Uzbekistan-based visa facilitation companies,https://globalsanctions.com/2026/02/us-imposes-visa-restrictions-on-uzbekistan-visa-officials/,general_web,medium
TR-NICHE-0085,What is the plan for digitization of transport permits between Uzbekistan and Turkey?,Niche-Verification,Central Asia,Uzbekistan,Uzbekistan and Turkey will fully digitize transport permits by 2026,https://daryo.uz/en/2025/06/02/uzbekistan-and-turkey-to-fully-digitize-transport-permits-by-2026/,general_web,medium
TR-NICHE-0086,What warning has been issued to carriers on the China-Kyrgyzstan-Uzbekistan corridor?,Niche-Verification,Central Asia,Uzbekistan,Carriers have been warned to comply with the rules to avoid possible sanctions for violating cargo transportation rules,https://akipress.com/news:829879:Uzbekistan_warns_of_possible_sanctions_for_violating_cargo_transportation_rules_on_China-Kyrgyzstan_route/,general_web,medium
TR-NICHE-0087,What is the new limit for cash foreign currency purchases without a passport in Uzbekistan?,Niche-Verification,Central Asia,Uzbekistan,$500,https://www.gazeta.uz/en/2026/03/31/exchange/,general_web,medium
TR-NICHE-0088,"Are cash payments allowed at fuel stations in Uzbekistan starting April 1, 2026?",Niche-Verification,Central Asia,Uzbekistan,No,https://kun.uz/en/news/2026/02/03/uzbekistan-to-ban-cash-payments-at-fuel-stations-from-april-2026,general_web,medium
TR-NICHE-0089,Do U.S. citizens need a visa to travel to Uzbekistan for business and tourism for up to 30 days?,Niche-Verification,Central Asia,Uzbekistan,"No, as of January 1, 2026",https://travel.state.gov/en/international-travel/travel-advisories/uzbekistan.html,official,high
TR-NICHE-0090,"What is the level of caution advised when traveling to Uzbekistan due to terrorism, violent crime, and civil unrest?",Niche-Verification,Central Asia,Uzbekistan,High degree of caution,https://www.smartraveller.gov.au/destinations/asia/uzbekistan,official,high
TR-NICHE-0091,"Will certain transactions in Uzbekistan require cashless payments starting April 1, 2026?",Niche-Verification,Central Asia,Uzbekistan,Yes,https://azizovpartners.uz/en/legislativenews/from-april-1-2026-cashless-payments-will-be-mandatory-for-certain-transactions-in-uzbekistan/,general_web,medium
TR-NICHE-0092,Have digital banking verification requirements become stricter in Uzbekistan starting April 2026?,Niche-Verification,Central Asia,Uzbekistan,Yes,https://thepaypers.com/regulations/news/uzbekistan-introduces-stricter-digital-banking-verification-requirements-from-april-2026,general_web,medium
TR-NICHE-0094,Is a tourist visa required for entry into Turkmenistan?,Niche-Verification,Central Asia,Turkmenistan,"Yes, a tourist visa is required for entry into Turkmenistan.",https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Turkmenistan.html,official,high
TR-NICHE-0095,"What significant change occurred in visa regulations related to Turkmenistan on December 16, 2025?",Niche-Verification,Central Asia,Turkmenistan,Significant easing has been introduced in visa regulations related to Turkmenistan.,https://turkey.tmembassy.gov.tm/index.php/en/news/156281,official,high
TR-NICHE-0099,"What change occurred in the United States' visa policy for Turkmen citizens on January 1, 2026?",Niche-Verification,Central Asia,Turkmenistan,"The United States lifted the previous ban on issuing non-immigrant visas (including B‑1, B‑2, B‑1/B‑2, F, M) for Turkmen citizens.",https://tmt.tm/en/news/usa-lifts-some-visa-restrictions-for-turkmen-citizens/,general_web,medium
TR-NICHE-0100,What is the requirement for travelers departing Turkmenistan?,Niche-Verification,Central Asia,Turkmenistan,Travelers departing Turkmenistan must have a current valid visa or they will be denied exit until they have extended the validity of the visa.,https://www.trade.gov/country-commercial-guides/turkmenistan-business-travel,official,high
TR-NICHE-0101,What is the requirement for Turkmen citizens to renew their passports?,Niche-Verification,Central Asia,Turkmenistan,Turkmen citizens must return to Turkmenistan to renew their passports as the government refuses to renew them through consulates abroad.,https://www.hrw.org/world-report/2026/country-chapters/turkmenistan,general_web,medium
TR-NICHE-0110,Has Turkmenistan legalized cryptocurrency mining and exchanges?,Niche-Verification,Central Asia,Turkmenistan,"Yes, Turkmenistan has officially legalized cryptocurrency mining and the operation of crypto exchanges.",https://timesca.com/turkmenistan-legalizes-crypto-mining-and-exchanges-for-the-first-time/,general_web,medium
TR-NICHE-0111,What travel restrictions are imposed by the authorities in Turkmenistan on its citizens?,Niche-Verification,Central Asia,Turkmenistan,Authorities impose arbitrary foreign travel bans and engage in transnational repression including by denying Turkmens the ability to renew their passports.,https://www.hrw.org/world-report/2025/country-chapters/turkmenistan,general_web,medium
TR-NICHE-0112,Are there any changes to the US visa restrictions for Turkmen citizens?,Niche-Verification,Central Asia,Turkmenistan,"Starting 1 January 2026, the United States will lift the previous ban on issuing non-immigrant visas (including B‑1, B‑2, B‑1/B‑2, F, M) for Turkmen citizens.",https://tmt.tm/en/news/usa-lifts-some-visa-restrictions-for-turkmen-citizens/,general_web,medium
TR-NICHE-0113,What is the level of caution advised when traveling to Turkmenistan?,Niche-Verification,Central Asia,Turkmenistan,Exercise a high degree of caution in Turkmenistan overall due to the threat of crime.,https://www.smartraveller.gov.au/destinations/asia/turkmenistan,official,high
TR-NICHE-0114,What is the current legal status of cryptocurrency mining and exchange operations in Turkmenistan?,Niche-Verification,Central Asia,Turkmenistan,"Turkmenistan has legalized cryptocurrency mining and the operation of crypto exchanges, with a newly adopted law setting strict regulations.",https://timesca.com/turkmenistan-legalizes-crypto-mining-and-exchanges-for-the-first-time/,general_web,medium
TR-NICHE-0115,Can cryptocurrencies be used as legal tender for domestic payments in Turkmenistan?,Niche-Verification,Central Asia,Turkmenistan,"No, cryptocurrencies are not recognized as legal tender and cannot be treated as a currency or security for domestic payments.",https://timesca.com/turkmenistan-opens-door-to-crypto-mining-keeps-firm-grip-on-exchanges/,general_web,medium
TR-NICHE-0116,What are the restrictions on foreign currency exchange in Turkmenistan?,Niche-Verification,Central Asia,Turkmenistan,Turkmenistan has severe currency exchange restrictions that significantly hinder the free flow of financial resources.,https://www.state.gov/reports/2025-investment-climate-statements/turkmenistan,official,high
TR-NICHE-0117,What is the impact of foreign exchange controls on businesses in Turkmenistan?,Niche-Verification,Central Asia,Turkmenistan,Many companies that depend on foreign currency imports for their operations face challenges due to the shortage of cash and foreign currency in the banking system.,https://bti-project.org/de/reports/country-report/TKM,general_web,medium
TR-NICHE-0118,When will the new law regulating cryptocurrency mining and exchanges come into force in Turkmenistan?,Niche-Verification,Central Asia,Turkmenistan,The new law will come into force in 2026.,https://www.tradingview.com/news/invezz:a03a41564094b:0-turkmenistan-legalises-crypto-lifts-long-standing-restrictions/,general_web,medium
TR-NICHE-0119,What is the deadline for foreign nationals to comply with Kazakhstan's updated migration registration and notification rules?,Niche-Verification,Central Asia,Kazakhstan,1 July 2026,https://www.envoyglobal.com/news-alert/kazakhstan-government-clarifies-registration-rules/,general_web,medium
TR-NICHE-0120,What action must a foreign national take in Kazakhstan if they change their residential address?,Niche-Verification,Central Asia,Kazakhstan,Complete registration at the new place of residence,https://eiglaw.com/kazahkstan-immigration-registration/,general_web,medium
TR-NICHE-0121,When did Kazakhstan start charging a consular fee or state duty for the processing of invitation documents and visa issuance?,Niche-Verification,Central Asia,Kazakhstan,1 January 2026,https://schneider-group.com/en/news/countries/important-changes-in-the-legislation-of-kazakhstan-2026/,general_web,medium
TR-NICHE-0122,How many countries' citizens can enter and exit Kazakhstan without visas under the new draft resolution?,Niche-Verification,Central Asia,Kazakhstan,56 countries,https://astanatimes.com/2025/07/kazakhstan-to-broaden-visa-free-access-under-new-draft-resolution/,general_web,medium
TR-NICHE-0123,What is the minimum stay duration that triggers the requirement for foreign nationals to register with the authorities in Kazakhstan?,Niche-Verification,Central Asia,Kazakhstan,Over 30 days,https://intermarkrelocation.com/news/immigration/kazakhstan-expands-migration-control/,general_web,medium
TR-NICHE-0124,"From which date did Egypt change its visa rules for Kazakh citizens, now not allowing individuals under 21 to enter?",Niche-Verification,Central Asia,Kazakhstan,"October 1, 2025",https://en.tengrinews.kz/world_news/entry-rules-for-kazakhstanis-changed-for-russia-and-three-269765/,general_web,medium
TR-NICHE-0125,When did Kazakhstan introduce significant restrictions on the employment of foreign nationals through amendments to its migration legislation?,Niche-Verification,Central Asia,Kazakhstan,"Recent amendments, exact date not specified in the snippet",https://acsour.kz/news_eng/tpost/k2sae7ddo1-tightening-of-visa-regulations-in-the-re,general_web,medium
TR-NICHE-0127,Is it legal to wear face-covering clothing in public in Kazakhstan?,Niche-Verification,Central Asia,Kazakhstan,"No, face-covering clothing is banned in public in Kazakhstan",https://astanatimes.com/2025/12/kazakhstan-tightens-public-safety-rules-with-face-covering-clothing-ban/,general_web,medium
TR-NICHE-0128,What are the consequences of promoting LGBT propaganda in Kazakhstan?,Niche-Verification,Central Asia,Kazakhstan,Promoting LGBT propaganda in Kazakhstan can result in fines or prison sentences,https://www.aol.com/articles/kazakhstan-parliament-passes-law-banning-105905519.html,general_web,medium
TR-NICHE-0129,Do religious activities require government approval in Kazakhstan?,Niche-Verification,Central Asia,Kazakhstan,"Yes, all aspects of religious activities require government approval in Kazakhstan",https://www.uscirf.gov/sites/default/files/2025-09/2025%20Kazakhstan%20Country%20Update.pdf,official,high
TR-NICHE-0130,Is it legal to take photos or videos of local officials in Kazakhstan?,Niche-Verification,Central Asia,Kazakhstan,"No, taking photos or videos of local officials in Kazakhstan is against the law",https://www.rd.com/list/13-funny-international-laws-youd-never-know-were-real/,general_web,medium
TR-NICHE-0131,What are the consequences of disseminating illegal online content in Kazakhstan?,Niche-Verification,Central Asia,Kazakhstan,Disseminating illegal online content in Kazakhstan can result in administrative liability,https://timesca.com/kazakhstan-to-introduce-fines-for-illegal-online-content/,general_web,medium
TR-NICHE-0132,What is the deadline for the US sanctions exemption for the transit of Russian oil through Kazakhstan?,Niche-Verification,Central Asia,Kazakhstan,March 2027,https://timesca.com/u-s-extends-sanctions-exemption-for-transit-of-russian-oil-through-kazakhstan/,general_web,medium
TR-NICHE-0133,What is the preliminary quota of permit exchange blanks approved by Kazakhstan for the year 2026?,Niche-Verification,Central Asia,Kazakhstan,"approximately 150,000",https://www.trend.az/casia/kazakhstan/4136965.html,general_web,medium
TR-NICHE-0135,What agreement is Kazakhstan preparing to sign regarding a Single Transit Permit?,Niche-Verification,Central Asia,Kazakhstan,TRACECA international transport agreement,https://caspianpost.com/kazakhstan/kazakhstan-prepares-to-sign-traceca-single-transit-deal,general_web,medium
TR-NICHE-0136,What change in legislation is expected to affect foreign labor in Kazakhstan in 2026?,Niche-Verification,Central Asia,Kazakhstan,Establishing a quota for attracting foreign labour,https://schneider-group.com/en/news/countries/important-changes-in-the-legislation-of-kazakhstan-2026/,general_web,medium
TR-NICHE-0137,How will Kazakhstan and Azerbaijan exchange permits for international road transport by 2026?,Niche-Verification,Central Asia,Kazakhstan,Electronically,https://cargoclub.io/tr/news/kazakhstan-and-azerbaijan-to-switch-to-electronic-permit-exchange.html,general_web,medium
TR-NICHE-0138,Do foreign nationals need to comply with updated migration registration and notification rules in Kazakhstan starting from 1 July 2026?,Niche-Verification,Central Asia,Kazakhstan,Yes,https://www.envoyglobal.com/news-alert/kazakhstan-government-clarifies-registration-rules/,general_web,medium
